California County,"Nearby City 
(to help approximate location only)",Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,,,,,,,,California County,Avg Pollution Burden,Avg Pollution Burden Score,Avg Pollution Burden Pctl,Median Pollution Burden,Median Pollution Burden Score,Median Pollution Burden Pctl,,"Nearby City 
(to help approximate location only)",Avg Pollution Burden,Avg Pollution Burden Score,Avg Pollution Burden Pctl,Median Pollution Burden,Median Pollution Burden Score,Median Pollution Burden Pctl
Alameda ,Oakland,38.27,4.71,40.71,,,,,,,,,,,,,,,,Hercules,31.92172275,3.931894213,24.28375856,30.86408255,3.801621502,21.51835719
Alameda ,Oakland,30.52,3.76,20.85,,,,,,,,,,,,,,,,El Sobrante,27.1144442,3.339767314,18.434972,26.89176156,3.312338826,15.47604231
Alameda ,Oakland,34.15,4.21,29.60,,,,,,,,,,,,,,,,El Cerrito,30.04167537,3.700323146,21.00130113,29.92979081,3.686541989,19.53951462
Alameda ,Oakland,33.39,4.11,27.50,,,,,,,,,,,,,,,,Richmond,42.42124566,5.225151901,52.78469197,44.82430504,5.521143924,58.08338519
Alameda ,Oakland,30.17,3.72,20.14,,,,,,,,,,,,,,,,San Pablo,38.91233542,4.792948917,42.70634157,38.46353555,4.737668892,41.20721842
Alameda ,Oakland,29.80,3.67,19.19,,,,,,,,,,,,,,,,Novato,28.23781266,3.478135972,19.53536611,29.02147187,3.574661625,17.62912259
Alameda ,Oakland,31.71,3.91,23.71,,,,,,,,,,,,,,,,San Rafael,31.79657945,3.916479939,25.97003494,29.62792715,3.649360539,18.80522713
Alameda ,Oakland,27.86,3.43,15.20,,,,,,,,,,,,,,,,San Geronimo,11.66632909,1.4369767,0.17423771,11.66632909,1.4369767,0.17423771
Alameda ,Oakland,26.97,3.32,13.08,,,,,,,,,,,,,,,,Fairfax,23.52533458,2.897685931,9.205559013,20.56236513,2.532728108,3.795892968
Alameda ,Oakland,22.33,2.75,5.87,,,,,,,,,,,,,,,,San Anselmo,23.49743833,2.894249866,8.039825762,22.75584043,2.802905031,6.365899191
Alameda ,Oakland,24.22,2.98,8.30,,,,,,,,,,,,,,,,Greenbrae,26.18431817,3.225200905,15.09645302,29.06048133,3.579466537,17.56067206
Alameda ,Oakland,22.21,2.74,5.68,,,,,,,,,,,,,,,,Larkspur,33.55837016,4.133484977,27.92781581,33.55837016,4.133484977,27.92781581
Alameda ,Oakland,21.64,2.67,4.97,,,,,,,,,,,,,,,,Corte Madera,37.52097298,4.621570637,38.58120722,37.52097298,4.621570637,38.58120722
Alameda ,Oakland,24.77,3.05,9.31,,,,,,,,,,,,,,,,San Quentin,25.13523809,3.095982568,9.956440572,25.13523809,3.095982568,9.956440572
Alameda ,Oakland,31.56,3.89,23.39,,,,,,,,,,,,,,,,Belvedere Tiburon,27.19875958,3.350152693,15.71873055,22.93590165,2.825083712,6.621032981
Alameda ,Oakland,33.19,4.09,27.08,,,,,,,,,,,,,,,,Mill Valley,23.97077832,2.95255257,9.348682846,24.78459312,3.052792577,9.377722464
Alameda ,Oakland,30.24,3.73,20.27,,,,,,,,,,,,,,,,Sausalito,30.9415682,3.811165641,22.70898154,29.14969018,3.590454659,17.69757312
Alameda ,Oakland,38.90,4.79,42.22,,,,,,,,,,,,,,,,Stinson Beach,20.3456142,2.506030247,3.596764157,20.3456142,2.506030247,3.596764157
Alameda ,Oakland,36.92,4.55,36.96,,,,,,,,,,,,,,,,Point Reyes Station,25.56978747,3.149507318,10.80273802,25.56978747,3.149507318,10.80273802
Alameda ,Oakland,40.36,4.97,45.81,,,,,,,,,,,,,,,,Petaluma,36.33662595,4.475691066,36.09282917,36.88019824,4.542644492,36.86372122
Alameda ,Oakland,39.70,4.89,44.19,,,,,,,,,,,,,,,,Napa,35.63807865,4.389648902,34.41900021,34.89390622,4.297986955,31.717486
Alameda ,Oakland,33.48,4.12,27.74,,,,,,,,,,,,,,,,American Canyon,24.90297691,3.067374264,9.948143539,25.6089374,3.154329532,10.88985688
Alameda ,Oakland,31.47,3.88,23.21,,,,,,,,,,,,,,,,Yountville,33.92746236,4.17894717,28.89856876,33.92746236,4.17894717,28.89856876
Alameda ,Oakland,33.85,4.17,28.74,,,,,,,,,,,,,,,,Saint Helena,37.0244076,4.560407191,37.23293922,38.14921061,4.698952548,40.33602987
Alameda ,Oakland,37.04,4.56,37.26,,,,,,,,,,,,,,,,Angwin,31.72217035,3.907314746,23.74611077,31.72217035,3.907314746,23.74611077
Alameda ,Oakland,28.64,3.53,16.65,,,,,,,,,,,,,,,,Calistoga,25.0575608,3.086414825,11.82327318,25.0575608,3.086414825,11.82327318
Alameda ,Oakland,35.55,4.38,33.44,,,,,,,,,,,,,,,,San Francisco,33.62908403,4.142195016,30.37762087,32.39160657,3.989771212,25.35158681
Alameda ,Oakland,34.17,4.21,29.70,,,,,,,,,,,,,,,,Brisbane,59.94653016,7.383793691,91.44990666,59.94653016,7.383793691,91.44990666
Alameda ,Oakland,52.30,6.44,77.98,,,,,,,,,,,,,,,,Daly City,33.45254747,4.120450479,29.75171126,33.6000169,4.138614731,28.36341008
Alameda ,Oakland,56.47,6.96,85.94,,,,,,,,,,,,,,,,South San Francisco,37.78013661,4.653492597,39.62550206,30.82270341,3.796524709,21.39390168
Alameda ,Oakland,36.86,4.54,36.81,,,,,,,,,,,,,,,,Pacifica,22.07321562,2.718824088,6.7423771,22.63467656,2.787980914,6.322339764
Alameda ,Oakland,38.84,4.78,42.09,,,,,,,,,,,,,,,,San Bruno,34.26860674,4.220966945,32.36119754,28.81202822,3.548863823,17.05040448
Alameda ,Oakland,30.69,3.78,21.19,,,,,,,,,,,,,,,,Millbrae,32.00059239,3.941608823,27.94233562,32.4506148,3.997039432,25.36403236
Alameda ,Oakland,38.19,4.70,40.49,,,,,,,,,,,,,,,,Burlingame,34.53451401,4.253719539,31.11698818,34.25406911,4.219176301,30.08711886
Alameda ,Oakland,35.09,4.32,32.36,,,,,,,,,,,,,,,,San Mateo,32.90904945,4.0535062,28.40001464,33.53768692,4.13093736,27.90914748
Alameda ,Oakland,31.62,3.90,23.51,,,,,,,,,,,,,,,,Belmont,31.5488812,3.885970203,25.7672682,29.20805696,3.59764387,17.88425638
Alameda ,Oakland,33.27,4.10,27.22,,,,,,,,,,,,,,,,San Carlos,31.48979895,3.878692865,26.66251815,29.9291891,3.686467875,19.52706907
Alameda ,Oakland,24.34,3.00,8.53,,,,,,,,,,,,,,,,Redwood City,33.46258283,4.121686565,29.71167808,32.52056233,4.005655079,25.56316117
Alameda ,Oakland,22.11,2.72,5.55,,,,,,,,,,,,,,,,Menlo Park,36.83935249,4.537613399,36.85252022,36.13282234,4.450587965,34.95955196
Alameda ,Oakland,24.99,3.08,9.73,,,,,,,,,,,,,,,,Atherton,35.12706999,4.326706435,32.1717486,35.12706999,4.326706435,32.1717486
Alameda ,Oakland,31.09,3.83,22.17,,,,,,,,,,,,,,,,Palo Alto,40.46596906,4.984314625,46.40552844,40.32111764,4.966472843,45.68761668
Alameda ,Oakland,30.26,3.73,20.31,,,,,,,,,,,,,,,,Portola Valley,36.84943275,4.538855016,36.80149347,36.84943275,4.538855016,36.80149347
Alameda ,Oakland,35.42,4.36,33.12,,,,,,,,,,,,,,,,Half Moon Bay,38.31554122,4.719439988,41.43123833,38.31554122,4.719439988,41.43123833
Alameda ,Oakland,43.35,5.34,53.95,,,,,,,,,,,,,,,,Moss Beach,34.09639595,4.199755225,29.39639079,34.09639595,4.199755225,29.39639079
Alameda ,Oakland,56.83,7.00,86.62,,,,,,,,,,,,,,,,Pescadero,42.57373203,5.243934105,51.87305538,42.57373203,5.243934105,51.87305538
Alameda ,Oakland,42.18,5.20,50.91,,,,,,,,,,,,,,,,San Jose,36.24754116,4.464718225,36.50374309,35.16099556,4.330885149,32.53266957
Alameda ,Oakland,36.58,4.51,36.00,,,,,,,,,,,,,,,,Campbell,38.29773414,4.717246636,40.71313006,36.2473811,4.46469851,35.23335408
Alameda ,Oakland,35.20,4.34,32.59,,,,,,,,,,,,,,,,Milpitas,37.00181763,4.557624717,39.08566687,38.6005615,4.754546789,41.53080274
Alameda ,Oakland,20.33,2.50,3.56,,,,,,,,,,,,,,,,Mountain View,42.74765389,5.265356581,52.31763811,42.05550434,5.180102447,50.57871811
Alameda ,Oakland,29.96,3.69,19.58,,,,,,,,,,,,,,,,Alviso,57.87121652,7.128171094,88.30118233,57.87121652,7.128171094,88.30118233
Alameda ,Oakland,29.57,3.64,18.66,,,,,,,,,,,,,,,,Sunnyvale,41.25495126,5.081495927,48.66521469,43.10655327,5.309563293,53.33540759
Alameda ,Oakland,18.83,2.32,2.30,,,,,,,,,,,,,,,,Santa Clara,41.04106611,5.055151052,47.96345534,39.02356328,4.806649185,42.58245177
Alameda ,Oakland,30.76,3.79,21.31,,,,,,,,,,,,,,,,Los Gatos,34.6492092,4.26784689,31.79091475,32.85939522,4.04739014,26.40323584
Alameda ,Oakland,19.50,2.40,2.81,,,,,,,,,,,,,,,,Saratoga,29.57327691,3.642629104,19.27400954,29.27034997,3.605316685,18.2078407
Alameda ,Oakland,30.44,3.75,20.70,,,,,,,,,,,,,,,,Cupertino,40.84781527,5.031347767,47.41547397,41.01264308,5.051650103,47.69757312
Alameda ,Oakland,19.91,2.45,3.11,,,,,,,,,,,,,,,,Los Altos,34.9135498,4.300406513,31.68524071,33.98636851,4.186202816,29.09769757
Alameda ,Oakland,26.02,3.21,11.44,,,,,,,,,,,,,,,,Stanford,38.64836548,4.760434948,41.93320888,36.33749176,4.47579771,35.37025513
Alameda ,Oakland,25.36,3.12,10.47,,,,,,,,,,,,,,,,Morgan Hill,42.58569076,5.245407098,52.38106013,43.16781165,5.317108671,53.51586808
Alameda ,Oakland,29.52,3.64,18.59,,,,,,,,,,,,,,,,Gilroy,36.38142785,4.48120945,36.35594275,35.65073145,4.391207385,33.62787803
Alameda ,Oakland,50.36,6.20,73.64,,,,,,,,,,,,,,,,San Martin,46.66410264,5.747757305,63.16116988,46.66410264,5.747757305,63.16116988
Alameda ,Oakland,45.36,5.59,59.56,,,,,,,,,,,,,,,,Vallejo,29.58677986,3.644292303,20.97637353,29.93856056,3.687622186,19.56440572
Alameda ,Oakland,57.41,7.07,87.57,,,,,,,,,,,,,,,,Benicia,35.04306046,4.316358729,32.62690017,31.70051735,3.904647682,23.68388301
Alameda ,Oakland,54.14,6.67,82.07,,,,,,,,,,,,,,,,Fairfield,30.5846494,3.767202883,22.10692802,29.81318529,3.672179338,19.2159303
Alameda ,Oakland,54.96,6.77,83.62,,,,,,,,,,,,,,,,Suisun City,30.462997,3.752218593,22.21779714,26.44405755,3.257193783,12.1717486
Alameda ,Oakland,43.96,5.41,55.81,,,,,,,,,,,,,,,,Travis AFB,31.91756649,3.931382274,25.05704211,33.35911711,4.108942382,27.45488488
Alameda ,Oakland,44.35,5.46,56.96,,,,,,,,,,,,,,,,Vacaville,29.52181814,3.636290773,20.79118144,29.28145828,3.60668493,17.95892968
Alameda ,Oakland,44.37,5.46,57.01,,,,,,,,,,,,,,,,Dixon,43.70849051,5.383705705,52.23086497,39.99614369,4.926444828,45.03422526
Alameda ,Oakland,27.61,3.40,14.49,,,,,,,,,,,,,,,,Rio Vista,52.950775,6.522105572,79.58929683,52.950775,6.522105572,79.58929683
Alameda ,Oakland,20.19,2.49,3.36,,,,,,,,,,,,,,,,Sonoma,32.75371348,4.034373004,26.64592408,31.35726157,3.862367838,22.82514001
Alameda ,Oakland,32.51,4.00,25.56,,,,,,,,,,,,,,,,Glen Ellen,33.17904852,4.086762795,27.04418171,33.17904852,4.086762795,27.04418171
Alameda ,Oakland,35.96,4.43,34.47,,,,,,,,,,,,,,,,Cotati,38.66706183,4.762737834,43.12383323,38.05074902,4.686824739,39.96266335
Alameda ,Oakland,39.97,4.92,44.82,,,,,,,,,,,,,,,,Rohnert Park,26.68379948,3.286723513,14.35327585,25.59160106,3.152194163,10.87741133
Alameda ,Oakland,34.00,4.19,29.15,,,,,,,,,,,,,,,,Penngrove,28.90138126,3.559869704,17.23708774,28.90138126,3.559869704,17.23708774
Alameda ,Oakland,24.59,3.03,8.86,,,,,,,,,,,,,,,,Santa Rosa,34.68736639,4.272546825,33.19611316,35.1167102,4.325430388,32.47044182
Alameda ,Oakland,26.16,3.22,11.71,,,,,,,,,,,,,,,,Sebastopol,34.98799056,4.309575605,32.24891101,36.37706577,4.48067216,35.45737399
Alameda ,Oakland,26.80,3.30,12.81,,,,,,,,,,,,,,,,Guerneville,25.96958998,3.198752191,11.64903547,25.96958998,3.198752191,11.64903547
Alameda ,Oakland,48.94,6.03,69.63,,,,,,,,,,,,,,,,Forestville,32.94560251,4.058008551,26.82016179,32.94560251,4.058008551,26.82016179
Alameda ,Albany,25.99,3.20,11.36,,,,,,,,,,,,,,,,Windsor,37.65761754,4.638401556,39.31238332,38.58861642,4.753075478,41.3627878
Alameda ,Albany,31.08,3.83,22.14,,,,,,,,,,,,,,,,Healdsburg,32.63285549,4.019486563,28.44555072,35.20757767,4.336622807,32.60734287
Alameda ,Albany,45.08,5.55,58.88,,,,,,,,,,,,,,,,Geyserville,36.07471644,4.443430887,34.81020535,36.07471644,4.443430887,34.81020535
Alameda ,Berkeley,50.73,6.25,74.40,,,,,,,,,,,,,,,,Cloverdale,32.47998208,4.000656687,25.87429994,32.47998208,4.000656687,25.87429994
Alameda ,Albany,33.74,4.16,28.35,,,,,,,,,,,,,,,,Occidental,28.96247194,3.567394427,17.3490977,28.96247194,3.567394427,17.3490977
Alameda ,Albany,30.30,3.73,20.42,,,,,,,,,,,,,,,,Cazadero,27.67302921,3.408569903,17.14374611,27.67302921,3.408569903,17.14374611
Alameda ,Berkeley,15.79,1.94,0.76,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,17.64,2.17,1.53,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,29.96,3.69,19.59,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,19.43,2.39,2.76,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,20.90,2.57,4.13,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,26.07,3.21,11.56,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,26.64,3.28,12.45,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,27.52,3.39,14.34,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,40.56,5.00,46.38,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,58.52,7.21,89.37,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,46.13,5.68,61.77,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,40.26,4.96,45.50,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,30.54,3.76,20.87,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,30.00,3.70,19.70,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,29.13,3.59,17.66,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,32.61,4.02,25.86,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,31.30,3.86,22.78,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,34.00,4.19,29.16,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,34.82,4.29,31.51,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,38.44,4.73,41.14,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,42.77,5.27,52.33,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,44.96,5.54,58.56,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,44.66,5.50,57.82,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,37.47,4.62,38.51,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,32.29,3.98,25.18,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,27.35,3.37,13.89,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,31.99,3.94,24.31,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,32.58,4.01,25.77,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,26.36,3.25,12.07,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,30.03,3.70,19.74,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,27.63,3.40,14.62,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,33.81,4.16,28.67,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Berkeley,44.04,5.42,56.08,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Emeryville,56.23,6.93,85.55,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Emeryville,55.19,6.80,84.01,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Emeryville,47.04,5.79,64.13,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Emeryville,52.22,6.43,77.70,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Oakland,25.45,3.13,10.68,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Oakland,31.96,3.94,24.22,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,48.58,5.98,68.60,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,49.52,6.10,71.34,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,44.26,5.45,56.74,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,36.98,4.56,37.15,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,35.34,4.35,32.92,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,33.64,4.14,28.13,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,41.20,5.07,48.19,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,44.17,5.44,56.43,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,42.49,5.23,51.59,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,36.23,4.46,35.10,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,36.67,4.52,36.30,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,24.89,3.07,9.52,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,36.50,4.50,35.79,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,30.25,3.73,20.29,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,27.96,3.44,15.43,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Alameda,50.06,6.17,72.83,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,28.70,3.53,16.81,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,21.51,2.65,4.79,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,19.19,2.36,2.56,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,19.64,2.42,2.89,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,22.31,2.75,5.82,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,34.20,4.21,29.79,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,32.68,4.03,26.04,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,24.67,3.04,9.14,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,33.73,4.15,28.33,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,34.49,4.25,30.63,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,38.25,4.71,40.65,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,27.45,3.38,14.11,,,,,,,,,,,,,,,,,,,,,,
Alameda ,Castro Valley,33.52,4.13,27.83,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,32.13,3.96,24.70,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,29.76,3.67,19.10,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,42.53,5.24,51.74,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,55.34,6.82,84.24,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,52.65,6.49,78.78,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,49.61,6.11,71.55,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,41.41,5.10,48.79,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,33.05,4.07,26.70,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,32.80,4.04,26.21,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,36.04,4.44,34.69,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,37.34,4.60,38.12,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,37.79,4.65,39.19,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,38.95,4.80,42.31,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,50.45,6.21,73.79,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,52.52,6.47,78.51,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,39.46,4.86,43.67,,,,,,,,,,,,,,,,,,,,,,
Alameda ,San Leandro,29.70,3.66,18.95,,,,,,,,,,,,,,,,,,,,,,
